Course_Name,Company_Offering,Skills_Gained,Ratings,Number_of_Ratings,Course_Link
Google Data Analytics,Google,"Data Analysis, Spreadsheets, SQL (Programming Language), Data Visualization, R (Programming Language), Data Cleansing, Business Communication, Business Communications, Data Integrity, Tableau (Business Intelligence Software), Data Quality, Advanced Analytics, Analysis, Analytics, Business Analysis, Data Collection, Data Management, Graphing, Information Privacy, Relational Databases, Statistical Graphics, Statistics, Teamwork, Text Mining, Unstructured Data",4.8,142000,https://www.coursera.org/professional-certificates/google-data-analytics
Google Cybersecurity,Google,"Cybersecurity, Incident Response, Network Security, Python (Programming Language), Cyber Risk, Incident Management, Linux, Operating Systems, Security Information and Event Management (SIEM), Security Management, Network Protocols, TCP/IP, Bash (Scripting Language), Authorization (Computing), Cloud Computing, Firewall, Intrusion Detection and Prevention, Open Web Application Security Project (OWASP), SQL (Programming Language), Authentications, Business Communications, Computer Hardware, Cyber Defense, Cyber Security, Encryption, General Networking, Hardening, Malware Analysis, Malware Protection, Network Switches, Networking Hardware, Penetration Testing, Public Key Infrastructure, Relational Databases, Risk Management Framework, Security Controls, Single Sign-On (SSO), Splunk, Systems Administration, Threat Modeling, User Interface (UI), Virtual Private Networks (VPN), Vulnerability Assessments, Vulnerability Management, Wide Area Networks",4.8,27000,https://www.coursera.org/professional-certificates/google-cybersecurity
Google Project Management:,Google,"Project Management, Operations Management, Strategic Planning, Management, Communications, Business Communication, Collaboration, Agile Methodology, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain, Change Management, Finance, Industrial and Organizational Psychology, Organizational Development, Product Management, Project Planning, Quality Management, Risk Management, Budget Management, Business Communications, Communication, Conflict Management, Critical Thinking and Problem Solving, Human Resource Planning, Influencing Skills, Product Design, Project Schedules, Quality Management Systems, Risk Analysis, Storytelling, Teamwork, User Story, Waterfall Methodology, Writing",4.8,105000,https://www.coursera.org/professional-certificates/google-project-management
IBM Data Science,IBM,"Python (Programming Language), Data Science, SQL (Programming Language), Machine Learning, Pandas (Python Package), Scikit Learn (Machine Learning Library), Decision Tree Learning, NumPy, Regression Analysis, Application Programming Interface (API), Data Collection, Data Visualization, Databases, Relational Databases, Restful API, Dashboard, Data Analysis, Data Analysis Software, Data Cleansing, Extraction, Transformation, and Loading (ETL), Git (Version Control System), GitHub, PySpark, R (Programming Language)",4.6,124000,https://www.coursera.org/professional-certificates/ibm-data-science
Google Digital Marketing & E-commerce,Google,"Digital Marketing, Marketing, Marketing Management, Media Strategy, Marketing Analytics, Data Analysis, Email Marketing, Social Media, Search Engine Optimization, E Commerce, Marketing Strategy and Techniques, Sales, Advertisement, Communications, Marketing Strategies, Operations Management, Strategic Planning, Brand Management, Branding, Business Communication, Business Communications, Customer Success Management, Data Visualization, Graphical Tools, Management, Persona Development, Research and Development, Search Engine Marketing, Strategic Thinking, Survey Development, Training and Development, Web Design, Web Development, Web Development Tools, Writing",4.8,25000,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
IBM Data Analyst,IBM,"Python (Programming Language), Pandas (Python Package), SQL (Programming Language), Data Visualization, Data Cleansing, Microsoft Excel, Spreadsheets, Analysis, Data Analysis, Data Wrangling, Databases, Exploratory Data Analysis, Relational Databases, Advanced Analytics, Analytics, Application Programming Interface (API), Correlation Analysis, Dashboard, Database Software, Graphing, Restful API, Apache Spark, Data Collection, Data Management, Data Mining, Data Quality, Data Science, Data Structures, Data Warehousing, Extraction, Transformation, and Loading (ETL), HTML5, Mathematics, NoSQL, NumPy, R (Programming Language), Statistical Graphics, Statistics, Unstructured Data",4.6,75000,https://www.coursera.org/professional-certificates/ibm-data-analyst
Google UX Design,Google,"User Experience (UX), User Experience (UX) Design, User Centered Design, Design Thinking, User Research, Agile Methodology, Figma (Design Software), Graphic and Visual Design, Human Centered Design, Product Design, UI/UX Research, User Interface and User Experience (UI/UX) Design, Value Propositions, Visual Design",4.8,78000,https://www.coursera.org/professional-certificates/google-ux-design
Google IT Support,Google,"Systems Administration, Linux, Operating Systems, Network Troubleshooting, Cybersecurity, Technical Support, Network Administration, Computer Networks, Configuration Management, Identity and Access Management, Windows PowerShell, Ruby (Programming Language), Software Installation, TCP/IP, Active Directory, Authorization (Computing), Cyber Security Strategy, Git (Version Control System), IT Management, Information Systems Security, Network Architecture, Network Protocols, Scripting Languages, Version Control, Virtualization, Virtualization and Virtual Machines, Ansible, Apache, Authentications, Automation, Business Communication, Business Communications, Cloud Clients, Cloud Storage, Communication, Communications, Computer Architecture, Computer Hardware, Computer Security, Cryptography, Customer Service, Cyber Security, Dashboard, Debugging, Disaster Recovery, Encryption, Google Cloud, IT Infrastructure, Network Analysis, Process Improvement and Optimization, Security Management, Servers, Service Design, Software as a Service (SaaS), Technical Assistance, Unix, Web Services",4.8,186000,https://www.coursera.org/professional-certificates/google-it-support
Machine Learning,Multiple educators,"Machine Learning, Machine Learning Methods, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Regression Analysis, Reinforcement Learning, Scikit Learn (Machine Learning Library), TensorFlow, Decision Tree Learning, Anomaly Detection, Feature Engineering, Random Forest Algorithm",4.9,22000,https://www.coursera.org/specializations/machine-learning-introduction
IBM Applied AI,IBM,"Natural Language Processing, Artificial Intelligence, Python (Programming Language), Computer Vision, Artificial Intelligence and Machine Learning (AI/ML), Artificial Neural Networks, Image Analysis, Machine Learning, Restful API, Application Programming Interface (API), ChatGPT, Natural Language Processing (NLP), NumPy, Pandas (Python Package)",4.6,49000,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
IBM DevOps and Software Engineering,IBM,"DevOps, Software Engineering, Python (Programming Language), Cloud Computing, Test Driven Development (TDD), Continuous Integration, Agile Methodology, Application Security, Continuous Delivery, Kubernetes, Security Engineering, Bash (Scripting Language), Microservices, Software Testing, Agile Software Development, Computer Programming, Continuous Monitoring, Application Development, CI/CD, Cloud Engineering, Cloud Native Computing, Containerization, Git (Version Control System), GitHub, Linux, Programming Concepts, Restful API, Software Development, Application Programming Interface (API), Cloud Applications, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Services, Cloud Storage, Cloud Technologies, Computing Platforms, Cybersecurity, Data Visualization, Data Visualization Software, Docker (Software), IBM Cloud Computing, Network Security, NumPy, Pandas (Python Package), Sass, Scrum (Software Development), Security Software, Security Testing, Software Architecture, Software Development Life Cycle, Software as a Service (SaaS), Teamwork, Version Control",4.6,46000,https://www.coursera.org/professional-certificates/devops-and-software-engineering
Introduction to Data Science,IBM,"Data Science, SQL (Programming Language), Scikit Learn (Machine Learning Library), Databases, Python (Programming Language), Relational Databases, Data Analysis Software, Data Cleansing, Data Collection, Git (Version Control System), GitHub, PySpark, R (Programming Language)",4.6,88000,https://www.coursera.org/specializations/introduction-data-science
IBM Full Stack Software Developer,IBM,"Cloud Computing, Cloud Applications, IBM Cloud, Cloud Infrastructure, DevOps, Cloud Platforms, Computer Programming, Javascript, Python Programming, Cloud Management, Web Development, Software Architecture, Application Development, Cloud API, Cloud-Based Integration, Software Engineering, Microarchitecture, Cloud Storage, Continuous Delivery, Continuous Integration, Full-Stack Web Development, Software As A Service, Web Development Tools, Docker (Software), Kubernetes, Software Engineering Tools, Software Testing, Django (Web Framework), NoSQL, SQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",4.6,44000,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
